iter	Logloss
0	0.6822947005
1	0.6728521241
2	0.6647289474
3	0.6567661104
4	0.6509472075
5	0.6444545312
6	0.6381371433
7	0.6338006553
8	0.6284317955
9	0.6240542749
10	0.6198014337
11	0.615538989
12	0.6116633718
13	0.6078235604
14	0.6054104346
15	0.6029383653
16	0.6009769881
17	0.5988414717
18	0.5971117285
19	0.5936696265
20	0.5909005329
21	0.5895785216
22	0.5881252127
23	0.5869323767
24	0.5851766914
25	0.5836748173
26	0.5823835304
27	0.5813770384
28	0.579916092
29	0.5789795925
30	0.5783190096
31	0.5768351324
32	0.5751342518
33	0.5744190432
34	0.5735700439
35	0.5731815588
36	0.5720846012
37	0.5693163765
38	0.5675987671
39	0.5658699981
40	0.5636377854
41	0.5606772329
42	0.559739676
43	0.5590746204
44	0.558768492
45	0.5562836518
46	0.5555500478
47	0.5543354889
48	0.5536358088
49	0.5530846298
50	0.5522196827
51	0.5515452973
52	0.5500943121
53	0.5498108608
54	0.5493415385
55	0.5481735353
56	0.5475705539
57	0.5471278698
58	0.5468059281
59	0.5464793871
60	0.5455513448
61	0.5449635396
62	0.5446035958
63	0.5443076773
64	0.5407795726
65	0.54060368
66	0.5390447147
67	0.5383444218
68	0.5381589587
69	0.5378991394
70	0.537674178
71	0.5374786263
72	0.537135303
73	0.5361054826
74	0.5359177432
75	0.5341040594
76	0.5337865365
77	0.5331554056
78	0.5318965651
79	0.5302591222
80	0.5300282213
81	0.5294993611
82	0.5288454353
83	0.5283617919
84	0.5274231194
85	0.5272835516
86	0.5260018021
87	0.5237540356
88	0.523238423
89	0.5229592465
90	0.5226974221
91	0.5224717325
92	0.5224179455
93	0.5222382647
94	0.5220860191
95	0.5200301966
96	0.5194013445
97	0.5190304578
98	0.5179281247
99	0.5178451111
100	0.5173292354
101	0.5172529797
102	0.5170771121
103	0.5168515717
104	0.5162780192
105	0.5158303502
106	0.5139811101
107	0.5133448775
108	0.5122816769
109	0.5120665988
110	0.5115474666
111	0.511167582
112	0.5099150909
113	0.5097251698
114	0.5095482376
115	0.5095189165
116	0.5093249716
117	0.5084983377
118	0.5074324163
119	0.5057885461
120	0.5056092816
121	0.5046831898
122	0.5038156348
123	0.5034828939
124	0.5026048402
125	0.5023659045
126	0.5022867528
127	0.5020878215
128	0.5017198487
129	0.5015466799
130	0.5014463395
131	0.50015396
132	0.5000245016
133	0.4990271124
134	0.4988397352
135	0.4986803875
136	0.4985130373
137	0.4984104703
138	0.4980501709
139	0.4976153296
140	0.4973908153
141	0.4972169292
142	0.4970896937
143	0.4966169133
144	0.4955160004
145	0.4950902427
146	0.4944671605
147	0.494277642
148	0.4940424189
149	0.4938728379
150	0.4937181038
151	0.4936243647
152	0.4934068617
153	0.4932390374
154	0.4929296594
155	0.4929140237
156	0.4919541282
157	0.4915646125
158	0.4909911142
159	0.4906483067
160	0.4903280115
161	0.4897725144
162	0.4892822869
163	0.4890566915
164	0.4886449183
165	0.4883950267
166	0.4881717838
167	0.4881145033
168	0.4879491989
169	0.4875603977
170	0.4872821472
171	0.4858745553
172	0.4855671705
173	0.4854767819
174	0.4843767304
175	0.4840147396
176	0.4839080109
177	0.4838069013
178	0.4834732108
179	0.4833548689
180	0.4827892466
181	0.4825137848
182	0.4823994257
183	0.481842149
184	0.4817697171
185	0.4812960696
186	0.4811623409
187	0.4807776567
188	0.4806912797
189	0.4806140359
190	0.4803422917
191	0.480302469
192	0.4802472507
193	0.4799852974
194	0.479897917
195	0.4797039692
196	0.4795964865
197	0.4794540044
198	0.4789383686
199	0.4787277533
