iter	Passed	Remaining
0	6	1243
1	12	1206
2	17	1154
3	23	1135
4	28	1117
5	34	1114
6	39	1096
7	44	1066
8	49	1050
9	55	1061
10	60	1044
11	67	1056
12	73	1053
13	78	1046
14	87	1074
15	92	1068
16	100	1079
17	107	1085
18	113	1081
19	120	1083
20	126	1080
21	132	1074
22	138	1066
23	144	1060
24	150	1056
25	157	1052
26	162	1041
27	168	1036
28	175	1032
29	180	1025
30	187	1022
31	193	1015
32	200	1013
33	206	1007
34	212	1001
35	219	1000
36	226	996
37	233	995
38	239	988
39	245	982
40	251	977
41	260	981
42	270	986
43	277	983
44	283	977
45	289	969
46	295	961
47	301	955
48	307	948
49	314	943
50	321	938
51	327	933
52	334	926
53	340	920
54	346	914
55	353	907
56	359	901
57	365	895
58	371	888
59	378	882
60	384	875
61	390	869
62	396	863
63	402	855
64	409	851
65	416	845
66	422	838
67	428	831
68	434	825
69	441	819
70	447	812
71	453	805
72	458	798
73	465	792
74	471	785
75	477	779
76	483	772
77	490	767
78	497	761
79	504	756
80	510	750
81	516	743
82	523	737
83	529	731
84	536	725
85	542	718
86	548	711
87	554	705
88	560	699
89	566	692
90	573	687
91	579	680
92	586	674
93	592	668
94	598	661
95	605	655
96	611	649
97	617	643
98	624	637
99	630	630
100	636	624
101	643	618
102	650	612
103	656	606
104	663	600
105	669	593
106	676	587
107	681	580
108	687	574
109	694	568
110	700	561
111	707	555
112	714	549
113	720	543
114	727	537
115	733	531
116	740	525
117	747	519
118	753	512
119	760	506
120	766	500
121	772	493
122	779	487
123	785	481
124	791	475
125	798	468
126	804	462
127	811	456
128	816	449
129	822	442
130	828	436
131	835	430
132	842	424
133	848	417
134	855	411
135	861	405
136	866	398
137	872	392
138	879	385
139	885	379
140	891	373
141	898	366
142	904	360
143	910	354
144	917	347
145	923	341
146	929	335
147	936	329
148	942	322
149	949	316
150	955	310
151	961	303
152	967	297
153	974	290
154	980	284
155	986	278
156	992	271
157	999	265
158	1005	259
159	1011	252
160	1018	246
161	1025	240
162	1032	234
163	1038	228
164	1045	221
165	1052	215
166	1058	209
167	1066	203
168	1072	196
169	1079	190
170	1085	184
171	1092	177
172	1098	171
173	1104	165
174	1112	158
175	1117	152
176	1123	146
177	1129	139
178	1136	133
179	1142	126
180	1149	120
181	1155	114
182	1161	107
183	1167	101
184	1174	95
185	1180	88
186	1186	82
187	1193	76
188	1200	69
189	1207	63
190	1214	57
191	1220	50
192	1226	44
193	1236	38
194	1243	31
195	1251	25
196	1258	19
197	1265	12
198	1271	6
199	1277	0
